username,text,date
username,text,date
CNNPolitics,Millions of Americans could lose their stimulus payments to debt collectors https://cnn.it/3clAuPb,2020-04-16
CNNPolitics,Trump's big show of opening the economy will hide the real story | Analysis https://cnn.it/2XF7o9n,2020-04-16
CNNPolitics,Nearly every top Democrat says the same thing about former Vice President Joe Biden when they make their endorsement: He is a man defined by his decency and empathy https://cnn.it/2z3k93n,2020-04-16
CNNPolitics,"Former President Jimmy Carter ""distressed"" by President Trump's decision to withhold World Health Organization funding https://cnn.it/2VdAKdu",2020-04-16
CNNPolitics,President Trump poised to unveil new federal coronavirus guidelines soon https://cnn.it/34EN6hX,2020-04-16
CNNPolitics,President Trump told testing is key to reopening during a business panel call https://cnn.it/3bg2wvk,2020-04-16
CNNPolitics,"Kellyanne Conway's simply false spin on ""Covid-19"" | Analysis by CNN's Chris Cillizza https://cnn.it/2XHmmvE",2020-04-16
CNNPolitics,FBI warns companies of employees faking coronavirus test results https://cnn.it/2yj3nNv,2020-04-16
CNNPolitics,Republican state lawmakers push for a faster economic reopening https://cnn.it/2K61oyH,2020-04-16
CNNPolitics,Barack Obama's challenge: Being the unifier he can believe in https://cnn.it/2Vwt454,2020-04-16
CNNPolitics,The economy can't reopen without schools | Analysis https://cnn.it/2xxSkQp,2020-04-16
CNNPolitics,"In an unprecedented move, the Supreme Court will hear major cases on President Trump's financial documents, religious freedom and the Electoral College via telephone next month and will make oral arguments available for live audio broadcast https://cnn.it/34CMx8m",2020-04-16
CNNPolitics,When will you get your stimulus payment? Here's how to check,2020-04-16
CNNPolitics,Strip clubs and lobbyists sue for stimulus dollars https://cnn.it/2wIpHzD,2020-04-16
CNNPolitics,"Barack Obama endorses Joe Biden in a video message: ""I'm so proud to endorse Joe Biden for President of the United States"" https://cnn.it/2VdAJGz",2020-04-16
CNNPolitics,Gov. Andrew Cuomo says he would refuse and challenge an order from President Trump to reopen New York's economy if it put residents' health at risk https://cnn.it/3epXv5G,2020-04-16
CNNPolitics,"Inside President Trump's ""mind-boggling"" coronavirus response https://cnn.it/2VBcHEc",2020-04-16
CNNPolitics,"Fact check: President Trump repeats false claim he has power over state coronavirus restrictions, threatens to shut down Congress https://cnn.it/2RI1vEF",2020-04-16
CNNPolitics,"US explores possibility that the coronavirus started in Chinese lab, not a market https://cnn.it/2yhKgDu",2020-04-16
CNNPolitics,Sen. Elizabeth Warren says she'd serve as Joe Biden's vice president if he asked https://cnn.it/3aaiTbt,2020-04-16
CNNPolitics,South Dakota Gov. Kristi Noem faces criticism over her refusal to issue a stay-at-home order after a coronavirus outbreak at a pork plant https://cnn.it/2Vv38H6,2020-04-16
CNNPolitics,Republican Rep. Trey Hollingsworth says letting more Americans die of the coronavirus is lesser of two evils compared to the economy tanking https://cnn.it/2K7Fdbj,2020-04-16
CNNPolitics,How Philadelphia's mayor is fighting a pandemic that's hitting the city's black community hard https://cnn.it/2XAEQOx,2020-04-16
CNNPolitics,Treasury Secretary Steven Mnuchin and Small Business Administration urge Congress to boost loan program funding https://cnn.it/3cqRPqd,2020-04-16
CNNPolitics,Scramble among businesses for coronavirus stimulus loans spills into court https://cnn.it/3aeEy2e,2020-04-16
CNNPolitics,NEW: President Trump's ally Michael Caputo named as new HHS spokesperson https://cnn.it/2K7O9xx,2020-04-16
CNNPolitics,Los Angeles mayor says large gatherings like concerts and sporting events may not come back until 2021 https://cnn.it/3adlGk8,2020-04-16
CNNPolitics,Did Gretchen Whitmer go too far in her coronavirus quarantine? | Analysis by CNN's Chris Cillizza https://cnn.it/3ej8QEm,2020-04-16
CNNPolitics,President Trump threatens to invoke never-used constitutional authority to adjourn Congress and push nominees through https://cnn.it/34DrlPm,2020-04-16
CNNPolitics,"Justin Amash discussing a ""potential campaign"" for president and will make a decision ""soon"" https://cnn.it/2VaDqbK",2020-04-16
CNNPolitics,Stop trying to make normal happen | Analysis https://cnn.it/2VzxJTA,2020-04-16
CNNPolitics,A high school senior is calling for Barack Obama to deliver a virtual commencement address to America's Class of 2020 https://cnn.it/2yf94vM,2020-04-16
CNNPolitics,Sen. Elizabeth Warren endorses Joe Biden for president https://cnn.it/2wMhc6G,2020-04-16
CNNPolitics,FAA bars active pilots from taking chloroquine and hydroxychloroquine to prevent coronavirus https://cnn.it/3bb8DBm,2020-04-15
CNNPolitics,US accuses Russia of putting American Navy pilots at risk during an aerial encounter and testing an anti-satellite missile https://cnn.it/2VvmHyV,2020-04-15
CNNPolitics,Bernie Sanders thinks the media cost him the nomination | Analysis by CNN's Chris Cillizza https://cnn.it/3eoYkLL,2020-04-15
CNNPolitics,Millions of Americans could lose their stimulus payments to debt collectors https://cnn.it/2xvR14k,2020-04-15
CNNPolitics,States finally have high-speed machines to detect Covid-19 — but few tests to run on them https://cnn.it/34G1Qgu,2020-04-15
CNNPolitics,Republican state lawmakers push for a faster economic reopening https://cnn.it/2yeODzd,2020-04-15
CNNPolitics,"Los Angeles' mayor says it ""would be very difficult to see"" large gatherings like concerts or sporting events resuming in the city before 2021 https://cnn.it/2V9jV3g",2020-04-15
CNNPolitics,"NEW: US says Iranian vessels ""harassed"" American warships in the Arabian sea https://cnn.it/3erkBso",2020-04-15
CNNPolitics,"President Trump scrapped plans for a coronavirus radio show out of concern that it would ""compete"" with Rush Limbaugh's show, The New York Times reports https://cnn.it/2VaQhup",2020-04-15
CNNPolitics,Nearly every top Democrat says the same thing about former Vice President Joe Biden when they make their endorsement: He is a man defined by his decency and empathy https://cnn.it/2z24Ho9,2020-04-15
CNNPolitics,“Shameful.” House Speaker Nancy Pelosi reacts to President Trump putting his name on paper stimulus checks. https://cnn.it/2K9xmKg,2020-04-15
CNNPolitics,"Former President Jimmy Carter ""distressed"" by President Trump's decision to withhold World Health Organization funding https://cnn.it/2VbjFAP",2020-04-15
CNNPolitics,"Speaker Pelosi plans to challenge President Trump's decision to halt World Health Organization funding, which she called ""senseless."" The WHO exists to ""fight disease … for us as the United States of America to undermine that just doesn't make sense"" https://cnn.it/3ejFLJ7",2020-04-15
CNNPolitics,President Trump poised to unveil new federal coronavirus guidelines soon https://cnn.it/2V97cO2,2020-04-15
CNNPolitics,"Amid a pandemic, lawmakers urge leadership to reconsider remote voting https://cnn.it/2XD7rCP",2020-04-15
CNNPolitics,"House Speaker Nancy Pelosi says any move to open the country should be ""science-based and health care-based"" and stresses a need for more testing: ""We still do not have the appropriate, adequate testing for us to identify and take inventory of the challenge that we face""",2020-04-15
CNNPolitics,"The Defense Department watchdog finds that it behaved appropriately in the cloud computing contract fought over by Amazon and Microsoft, but doesn't rule on whether the White House interfered in the process https://cnn.it/2XI1ggH",2020-04-15
CNNPolitics,"President Trump retreats from ""absolute authority"" in whiplash move https://cnn.it/2RDRf0a",2020-04-15
CNNPolitics,Trump administration's preparations for WHO funding cuts tees up battle with Congress https://cnn.it/3a7ifvn,2020-04-15
CNNPolitics,Barack Obama's challenge: Being the unifier he can believe in https://cnn.it/2K9TKmY,2020-04-15
