username,text,date
JoeBiden,"When we emerge from this crisis, we can't just go back to the way things were before. We have to build a better future for all. We can and will transform this nation — together.",2020-05-01
JoeBiden,"This crisis isn't about you, Mr. President. It's about the American people.",2020-05-01
JoeBiden,"We have lived long enough with a President who doesn’t think he is accountable to anyone, and takes responsibility for nothing. That’s not me. As a Presidential candidate, I’m accountable to the American people.",2020-05-01
JoeBiden,We need a president who listens.,2020-05-01
JoeBiden,We need more tests. Our front line workers need protective equipment. Americans need additional economic relief. Yet the Trump Administration is spending time and energy on President Trump's wasteful border wall. Unbelievable.,2020-05-01
JoeBiden,"The number is overwhelming, but each one represents a life thrown into uncertainty, a family unable to make ends meet, and a community worried about how it will recover. We have to do more to help them. Now.",2020-05-01
JoeBiden,"- More than 60,000 people in the U.S. have died - 30 million have filed for unemployment - At least 1 million have gotten sick Enough with the late night Twitter tantrums, Mr. President. It's time for you to step up and lead.",2020-05-01
JoeBiden,"Instead of preparing our country to fight COVID-19, Donald Trump wasted months and promised it would miraculously go away by April. He was wrong. And we're all paying the price.",2020-04-30
JoeBiden,An open and independent press is more important than ever in times like this. They deserve to be treated with respect — not belittled with schoolyard taunts from this president.,2020-04-30
JoeBiden,"Donald Trump either read his daily briefings and ignored the warnings, or didn't read them at all. Either way, it's a complete and unjustifiable dereliction of duty.",2020-04-30
JoeBiden,I’ve been a big fan of Megan’s for years and can’t wait to join her this afternoon. You can watch our chat live at 2:45 PM ET: https://joe.link/2VRzEUZ,2020-04-30
JoeBiden,"We may be physically apart, but we are all in this together.",2020-04-30
JoeBiden,"As president, I promise you I'll honor all those we've lost from COVID-19.",2020-04-30
JoeBiden,"The climate emergency isn't just a threat to our environment, it's a threat to our health, economy, and so much more. We have to get Donald Trump out of the White House and take action to combat it before it's too late.",2020-04-30
JoeBiden,"In the middle of a global pandemic, the Trump Administration is still working to gut the Affordable Care Act and rip health care away from millions. It's morally reprehensible. They need to drop the lawsuit immediately.",2020-04-30
JoeBiden,"With rent due in a few days and folks across the country worried they won't be able to make their payments, it's clear more needs to be done to provide relief. We need to freeze rent immediately for people who have lost their jobs and place a temporary ban on evictions.",2020-04-30
JoeBiden,"The words of a president matter — and Donald Trump has used his to downplay COVID-19, pass blame onto others, and mislead the American people. I will do the opposite.",2020-04-29
JoeBiden,"The Trump Admin failed to provide enough testing, PPE, and safety enforcement. Workers have gotten sick, plants have closed, and the meat supply is at risk. It's past time workers have the protections they need to stay healthy and do their job safely.",2020-04-29
JoeBiden,"""I wish he were president right now, but I can't wait until he is if all of us do our part to support the kind of person that we want back in the White House."" — @HillaryClinton Join us: http://JoeBiden.com/Join",2020-04-29
JoeBiden,Wear a mask in public. Read your daily briefings. Listen to the experts. This really isn't rocket science. It's common sense.,2020-04-29
JoeBiden,"Throughout our history, we have emerged from every crisis stronger than before — and we will again.",2020-04-29
JoeBiden,"We owe a profound debt of gratitude to the health care workers on the front lines of this fight. I checked in with Monica, an ICU Nurse, to talk about how she's getting through this and to thank her for all she's doing:",2020-04-29
JoeBiden,"I couldn't agree with @HillaryClinton more. We need a president who will listen to the science, bring us together, and lead with compassion and heart. If I have the honor of being elected, that's the exact kind of president I will be.",2020-04-29
JoeBiden,"There are nearly 330 million people in the United States — and according to the Trump White House, we've only conducted 5.4 million COVID-19 tests. It's abysmal. Donald Trump needs to scale up testing, and he needs to do it immediately.",2020-04-29
JoeBiden,Let me be very clear: No one is expendable. We shouldn’t allow rationing of health care that discriminates based on age or disability.,2020-04-29
JoeBiden,"The fact is there has been so much unnecessary death in this country. If we had listened to the experts and heeded their warnings, it could have been stopped short. But Donald Trump failed to act — and now the American people are paying the price.",2020-04-28
JoeBiden,"I’ve known @HillaryClinton for years, and know that her dedication and passion for bettering our country are second to none. I’m grateful for her endorsement and for her friendship — and look forward to working alongside her to get Donald Trump out of the White House.",2020-04-28
JoeBiden,"COVID-19 is affecting the entire nation, but the impact doesn’t look the same for everyone. I'm hosting a town hall on how COVID-19 is impacting women — and I'll be joined by special guest Hillary Clinton. Tune in now to watch:",2020-04-28
JoeBiden,"If you're excited too, join us at 3 PM ET:",2020-04-28
JoeBiden,(I'm with her.),2020-04-28
JoeBiden,"We're months into this crisis and workers still don't have enough protective equipment, there still aren't enough tests, and the death toll continues to rise. The President should spend less time congratulating himself and more time doing his job.",2020-04-28
JoeBiden,"We are months into this crisis, and health care workers still don’t have the protective equipment they need. It’s a national disgrace.",2020-04-28
JoeBiden,"Tomorrow afternoon, I'll be hosting a town hall on how COVID-19 is impacting women — and I'll be joined by a special guest. Tune in at 3 PM ET to watch: http://JoeBiden.com/Live",2020-04-28
JoeBiden,"The Trump Administration could have helped prevent this. But once again, they failed to take action — and now the American people are paying the price.",2020-04-28
JoeBiden,"Testing is the springboard we need to help get our economy safely up and running again. Trump could rapidly scale it up. He hasn’t. Instead, he’s passed blame and pushed sole responsibility to governors. We've got to do better. https://www.bloomberg.com/amp/news/articles/2020-04-27/biden-calls-for-more-virus-testing-public-health-jobs-corps",2020-04-27
JoeBiden,"COVID-19 is a danger to everyone. We will stop it by coming together as one America — not by targeting others. Thank you for helping lead this fight, @AndrewYang.",2020-04-27
JoeBiden,Join Senator Kamala Harris and Symone Sanders for a town hall addressing the impact and disparities of COVID-19 in the Black community. Tune in now:,2020-04-27
