username,text,date
realDonaldTrump,"The @nytimes story is a Fake, just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban, long before most others wanted to do so. @SecAzar told me nothing until later, and Peter Navarro memo was same as Ban (see his statements). Fake News!",2020-04-13
realDonaldTrump,"I am working hard to expose the corruption and dishonesty in the Lamestream Media. That part is easy, the hard part is WHY?",2020-04-13
realDonaldTrump,Thank you Paris!,2020-04-13
realDonaldTrump,Thank you!,2020-04-13
realDonaldTrump,I look forward to it also!,2020-04-13
realDonaldTrump,Great going Natalie!,2020-04-13
realDonaldTrump,"Sorry Fake News, it’s all on tape. I banned China long before people spoke up. Thank you @OANN",2020-04-12
realDonaldTrump,Fake News!,2020-04-12
realDonaldTrump,"Governors, get your states testing programs & apparatus perfected. Be ready, big things are happening. No excuses! The Federal Government is there to help. We are testing more than any country in the World. Also, gear up with Face Masks!",2020-04-12
realDonaldTrump,"The Opposition Party (Lamestream Media) and their partner, the Radical Left, Do Nothing Democrats, have put their political game plan in full swing. “Whether he is right or wrong, it doesn’t matter. Criticize ’Trump’ for everything, and don’t let the public see Biden. Hide him.”",2020-04-12
realDonaldTrump,"If the Fake News Opposition Party is pushing, with all their might, the fact that President Trump “ignored early warnings about the threat,” then why did Media & Dems viciously criticize me when I instituted a Travel Ban on China? They said “early & not necessary.” Corrupt Media!",2020-04-12
realDonaldTrump,"Just watched Mike Wallace wannabe, Chris Wallace, on @FoxNews. I am now convinced that he is even worse than Sleepy Eyes Chuck Todd of Meet the Press(please!), or the people over at Deface the Nation. What the hell is happening to @FoxNews. It’s a whole new ballgame over there!",2020-04-12
realDonaldTrump,The big Oil Deal with OPEC Plus is done. This will save hundreds of thousands of energy jobs in the United States. I would like to thank and congratulate President Putin of Russia and King Salman of Saudi Arabia. I just spoke to them from the Oval Office. Great deal for all!,2020-04-12
realDonaldTrump,"For the first time in history there is a fully signed Presidential Disaster Declaration for all 50 States. We are winning, and will win, the war on the Invisible Enemy!",2020-04-12
realDonaldTrump,,2020-04-12
realDonaldTrump,,2020-04-12
realDonaldTrump,,2020-04-12
realDonaldTrump,"Great businessman & philanthropist Bernie Marcus, Co-Founder of Home Depot, said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer",2020-04-12
realDonaldTrump,HAPPY EASTER!,2020-04-12
realDonaldTrump,"A very good sign is that empty hospital beds are becoming more and more prevalent. We deployed 418 Doctors, Nurses and Respiratory Therapists from the hospital ship Comfort and the Javits Convention Center to hospitals in NYC & State. Have more bed capacity than was needed. Good!",2020-04-12
realDonaldTrump,HAPPY EASTER!,2020-04-12
realDonaldTrump,,2020-04-12
realDonaldTrump,Cryin’Chuck doesn’t have a clue. Couldn’t care less about the American Worker!,2020-04-12
realDonaldTrump,Mail in ballots substantially increases the risk of crime and VOTER FRAUD!,2020-04-12
realDonaldTrump,Will be interviewed by @JudgeJeanine tonight at 9:00 P.M. Eastern on @FoxNews!,2020-04-11
realDonaldTrump,"So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!",2020-04-11
realDonaldTrump,"Governor @GavinNewsom of California has been very nice &amp; highly supportive about the great job we have done, working together, for California. That is the good news, but this is the bad. He is unfairly under attack by the Radical Left Dems, MSDNC etc. He is strong! Will he fold?",2020-04-11
realDonaldTrump,I will be watching. HAVE A GREAT EASTER!,2020-04-11
realDonaldTrump,"The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs & Trade are losers for the U.S., but winners for other countries, including China. If we followed their standards, we’d have no Country left. They should love Sleepy Joe!",2020-04-11
realDonaldTrump,"Watching @FoxNews on weekend afternoons is a total waste of time. We now have some great alternatives, like @OANN.",2020-04-11
